0,0,0
0,20,0
0,40,0
0,60,0
0,80,0
0,100,0
0,120,0
0,140,0
0,160,0
15,160,0
15,140,0
15,130,0
30,130,0
30,140,0
30,150,0
45,150,0
45,140,0
45,130,0
30,130,0
30,120,0
30,100,0
30,90,0
45,90,0
60,90,0
60,80,0
60,70,0
45,70,0
45,80,0
45,90,0
30,90,0
30,80,0
30,60,0
30,40,0
30,20,0
30,10,0
45,10,0
45,20,0
45,30,0
60,30,0
75,30,0
90,30,0
105,30,0
105,20,0
105,10,0
90,10,0
90,20,0
90,40,0
90,50,0
75,50,0
90,50,0
90,40,0
90,30,0
75,30,0
75,40,0
75,60,0
75,80,0
75,90,0
90,90,0
90,100,0
90,110,0
105,110,0
105,120,0
105,130,0
90,130,0
90,120,0
90,100,0
90,80,0
90,60,0
90,40,0
90,20,0
90,0,0
90,-20,0
90,-40,0
