34.25,60,3,2,0
25.75,80,2,27,1
25.75,40,2,9,2
25.75,20,3,16,3
25.75,100,0,17,4
34.25,120,0,11,5
34.25,140,1,45,6
19.24999,100,3,37,7
19.24999,80,0,49,8
19.24999,120,2,39,9
19.25,140,3,47,10
19.24999,60,1,6,11
19.24999,40,1,45,12
19.24998,20,2,36,13
40.74998,100,3,42,14
40.74998,80,0,4,15
40.74999,120,2,23,16
40.75,140,3,36,17
40.74997,60,2,22,18
40.74997,40,3,49,19
49.24995,20,3,30,20
109.25,100,1,14,21
100.75,80,2,49,22
109.25,120,1,37,23
109.25,140,3,29,24
100.75,60,3,15,25
109.25,40,3,40,26
100.75,20,2,49,27
70.74998,100,0,13,28
70.74998,80,3,8,29
79.24998,120,0,16,30
79.24999,140,0,41,31
70.74997,60,1,3,32
79.24996,40,0,8,33
70.74996,20,0,49,34
-4.249998,60,1,42,35
-4.249998,80,0,27,36
-4.249998,40,3,5,37
-4.249998,20,3,7,38
-4.249998,100,1,7,39
4.249997,120,2,34,40
4.249997,140,0,25,41
55.75,60,2,24,42
64.25,80,2,33,43
64.25,40,2,15,44
55.75,20,0,7,45
55.75,100,1,19,46
55.75,120,1,1,47
55.75,140,2,32,48
94.25,60,3,3,49
85.75,80,0,20,50
94.25,40,3,40,51
85.75,20,1,41,52
94.25,100,2,38,53
94.25,120,2,43,54
94.25,140,2,10,55
